company_code,service_category,country,city,zone_code,source_file
#CR0001,domestic,LK,Eheliyagoda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ehetuwewa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ekala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Elibichchiya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ella,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Elpitiya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Embilipitiya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Embogama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ettampitiya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Etungahakotuwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Galabedda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Galagedara,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Galamuna,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Galewela,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Galigamuwa Town,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Galle,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Gallewa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Galoya Junction,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Galpatha,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Gamagoda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Gampaha,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Gampola,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ganemulla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Gelioya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Getahetta,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ginigathena,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Gintota,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Giritale,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Giriulla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Gokaralla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Gonapola Junction,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Gonawila,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Gunnepana,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Habaraduwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Habarana,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Hali Ela,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Halloluwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Halmillawa Dambulla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Halmillawewa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Hambantota,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Handapangoda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Hanwella,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Haputale,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Hatton,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Hengamuwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Hettipola,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Hidellana,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Hikkaduwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Hilogama,C,Domestic Zone List.pdf
